Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
Spiritual (Inner) Alchemy-Basic Course/Self improvement,5,5,0.5,1,Personal Development,Religion & Spirituality,Spirituality,Marko Pešić,English,FALSE,0,0,0,3.5,6,No,29.98,22
WATERCOLOR BASICS: 5 projects to unlock your creativity,0,0,0,0,Personal Development,Creativity,Watercolor Painting,Lara Fernández,English,FALSE,0,0,0,0.633333333,0,No,29.98,22
Go Quickly from Re-acting to Acting: learn how to stay calm.,5,5,0.5,3,Personal Development,Personal Transformation,Master Your Emotions,Francesca Molinari,English,FALSE,0,9,0,3.5,34,No,59.98,59.98
Indian Polity & Governance,5,5,0.5,3,Teaching & Academics,Humanities,Political Science,The Saviour Academy,English,FALSE,0,0,0,5.5,1,No,29.98,22
Cost Classification,0,0,0,0,Finance & Accounting,Other Finance & Accounting,Management Accounting,Navkar Digital Institute,English,FALSE,0,0,0,5.5,0,No,29.98,22
Adobe Photoshop: High-End Skin Retouching,0,0,0,0,Photography & Video,Portrait Photography,Photoshop Retouching,Tom Kai,English,FALSE,0,0,0,0.733333333,1,No,104.98,22
Adobe Premiere Pro CC Essential Video Editing Zero To Hero,4.4,5,0.5,575,Photography & Video,Other Photography & Video,Video Editing,Stephen Koel Soren,English,FALSE,0,2,0,4,3,No,128.98,22
Project Management: How to build a Project Charter,5,5,0.5,1,Business,Project Management,Unknown,Robert Chapman,English,FALSE,0,0,0,1,2,No,49.98,22
Avid Pro Tools: Audio Recording For Beginners In Pro Tools,4.6,5,0.5,346,Music,Music Software,Audio Production,Life Progression Project,English,FALSE,0,1,0,1.5,2,No,128.98,22
INTUITION MATTERS! Applied Calculus in Engineering: Complete,4.7,5,0.5,338,Teaching & Academics,Math,Calculus,Mark Misin,English,FALSE,0,6,0,36,3,No,128.98,22
Music Theory for Electronic Producers - The Complete Course!,4.8,5,0.5,1137,Music,Music Techniques,Music Theory,Tomas George,English,FALSE,0,2,0,8.5,0,No,128.98,22
CATIA Imagine and shape,0,0,0,0,Design,Design Tools,CATIA,Rohit Yadav,English,FALSE,0,0,0,3.5,2,No,64.98,22
Local SEO: A Definitive Guide To Local Business Marketing,4.7,5,0.5,559,Marketing,Search Engine Optimization,Local SEO,Josh George,English,FALSE,0,23,0,5,17,Yes,128.98,22
1Z0-1072-20 | Oracle Cloud Infrastructure OCI 2020 Practice,4.6,5,0.5,16,Office Productivity,Oracle,Oracle Certification,Rohit Redhu,English,FALSE,6,0,0,0,0,Yes,55.98,22
Refresh and Upgrade Your Scuba Diving Skills,4.5,5,0.5,65,Health & Fitness,Sports,Scuba Diving,Patrick Scohy,English,FALSE,0,0,0,1.5,1,No,49.98,22
DEFEAT 10 Mental Habits that are Crippling Your Motivation,0,0,0,0,Personal Development,Motivation,Unknown,Narendra Goidani,English,FALSE,0,0,0,1,21,No,88.98,22
Grant Writing: How to Write Nonprofit Grants for Beginners,4.5,5,0.5,173,Business,Other Business,Grant Writing,Stephanie Tanner,English,FALSE,0,8,0,1,6,No,29.98,22
Maven Crash Course,4.4,5,0.5,6659,IT & Software,Other IT & Software,Apache Maven,Bharath Thippireddy,English,FALSE,0,1,0,5.5,11,Yes,29.98,22
Storytelling for Persuasion and Influence,0,0,0,0,Marketing,Branding,Storytelling,Daniel Scullari,English,FALSE,0,0,0,1.5,0,No,40.98,22
An introduction to GIS and QGIS 3,4.4,5,0.5,874,Teaching & Academics,Science,GIS,Oliver Burdekin,English,FALSE,0,0,0,1.5,2,No,29.98,22
Table Tennis Tips and Techniques,5,5,0.5,1,Health & Fitness,Sports,Table Tennis,Sport Videos,English,FALSE,0,0,0,0.6,0,No,34.98,22
Habits for Health,5,5,0.5,2,Health & Fitness,General Health,Habits,Mitchell Garlick,English,FALSE,0,0,0,1,1,No,40.98,22
Set Up A Photography Studio With Equipment - On A Budget,4.7,5,0.5,300,Photography & Video,Portrait Photography,Photography Lighting,Sandy Dee,English,FALSE,0,0,0,4,9,No,128.98,22
API Functional Testing using JMeter,4.7,5,0.5,24,Development,Software Testing,JMeter,Testing World Infotech,English,FALSE,0,0,0,2,0,No,34.98,22
Ultimate Network Marketing Recruiting Success System,4.9,5,0.5,46,Marketing,Affiliate Marketing,Network Marketing,David Lee,English,FALSE,0,0,0,3,2,No,88.98,22
Creating Easy Website Landing Pages as Part of Sales Funnels,0,0,0,0,Marketing,Digital Marketing,Landing Page Optimization,Sarah Kirkpatrick,English,FALSE,0,0,0,2,0,No,55.98,22
Kali Linux Tutorial For Beginners,4.6,5,0.5,3891,IT & Software,Network & Security,Kali Linux,Hackers Academy - Online Ethical Hacking Tutorials,English,FALSE,0,17,0,8,1,Yes,128.98,22
Health and safety for Holistic therapists,4.5,5,0.5,5,Health & Fitness,Safety & First Aid,Workplace Health and Safety,Deborah Casey,English,FALSE,0,6,0,1,5,No,40.98,22
How to Pick a Bestselling Book Title Before Writing a Book,4.8,5,0.5,25,Personal Development,Personal Brand Building,Writing a Book,Hassan Osman,English,FALSE,0,0,0,2,0,No,29.98,22
Financial Accounting CPA section 1 August Exam,0,0,0,0,Teaching & Academics,Other Teaching & Academics,Financial Accounting,Ronoh Gilbert,English,FALSE,0,0,0,12.5,4,No,29.98,22
Whole Body How to Massage Course by Brian Cavill,4.5,5,0.5,127,Health & Fitness,Other Health & Fitness,Massage,Brian Cavill,English,FALSE,0,0,0,3,1,No,40.98,22
Kalari I - Kalaripayattu Weapon & Barehand Fighting,4.8,5,0.5,4,Health & Fitness,Sports,Martial Arts,Kalari Center,English,FALSE,0,0,0,2.5,0,No,88.98,22
Udemy SEO Instructor Course: Rank Course On Top - Unofficial,4.9,5,0.5,10,Marketing,Search Engine Optimization,SEO,Being Commerce,English,FALSE,0,1,0,1.5,19,No,29.98,22
Beginners Guide To Making 360 Virtual Tours With Kuula,5,5,0.5,1,Photography & Video,Photography Tools,Digital Photography,Richard L Charpentier,English,FALSE,0,0,0,2,1,No,29.98,22
Businesstelling: the FULL course in Business Storytelling,5,5,0.5,1,Marketing,Content Marketing,Storytelling,Antonio Lorenzon,English,FALSE,0,0,0,3,26,No,218.98,218.98
10 Perfect Lead Magnet Ideas For Freelancers,4.6,5,0.5,10,Marketing,Growth Hacking,Lead Generation,Mike DeVincent,English,FALSE,0,0,0,0.633333333,0,No,128.98,22
Android Training & Certification - 49 Projects,4.1,5,0.5,1363,Development,Mobile Development,Android Development,Vivian Aranha,English,FALSE,0,0,0,17,31,No,128.98,22
33 Lockdown Lighten Up,5,5,0.5,4,Health & Fitness,Mental Health,Balance Exercise,Rob Moses,English,FALSE,0,0,0,2,0,No,44.98,22
The Trading Edge,0,0,0,0,Finance & Accounting,Investing & Trading,Stock Trading,Matthew Barnett,English,FALSE,0,0,0,2,0,No,128.98,22
Belly Dance! - A Total Body Workout for Beginners,4.2,5,0.5,46,Health & Fitness,Dance,Belly Dancing,Daleela Morad,English,FALSE,0,0,0,1.5,0,No,40.98,22
Investment Banking: Mining Finance,4.9,5,0.5,4,Finance & Accounting,Financial Modeling & Analysis,Credit Analysis,Perry Fisher,English,FALSE,0,0,0,7.5,4,No,218.98,218.98
Home Business : CPA Marketing Ultimate Booster 2021,4,5,0.5,1,Marketing,Affiliate Marketing,CPA Marketing,Abdelilah Elkhayyate,English,FALSE,0,0,0,1.5,1,No,78.98,22
The Ultimate Hands-On Hadoop: Tame your Big Data!,4.6,5,0.5,24635,Business,Business Analytics & Intelligence,Big Data,Sundog Education by Frank Kane,English,TRUE,0,6,0,14.5,2,Yes,128.98,22
Business Online Scaling Strategies,5,5,0.5,3,Business,Entrepreneurship,Online Business,David Loke,English,FALSE,0,0,0,5,1,No,59.98,22
Seeing the Big Picture: Understanding Financial Statements,4.4,5,0.5,1901,Finance & Accounting,Finance,Financial Statement,Kevin Cope,English,FALSE,0,0,0,0.516666667,3,No,59.98,59.98
Understanding Unconscious Bias,4.2,5,0.5,3148,Business,Human Resources,Diversity and Inclusion,Skill Boosters,English,FALSE,0,0,0,0.683333333,5,No,59.98,22
Great time management: How to do the things that matter,5,5,0.5,4,Personal Development,Personal Productivity,Time Management,"Nadege Minois, PhD",English,FALSE,0,0,0,3.5,51,No,128.98,22
Instagram Advertising Masterclass,0,0,0,0,Marketing,Digital Marketing,Instagram Marketing,Apurv Singh,English,FALSE,0,0,0,2,0,No,29.98,22
Procreate Essentials: Paint a Blue Dart Frog,4.7,5,0.5,6,Design,Game Design,Digital Painting,Maurizio De Angelis,English,FALSE,0,0,0,1.5,1,No,88.98,22
ATLS Advanced Trauma Life Support Certification-PracticeExam,4.1,5,0.5,16,Health & Fitness,Safety & First Aid,Advanced Trauma Life Support (ATLS),thexams Academy,English,FALSE,4,0,0,0,0,No,40.98,22
SelectorsHub Tutorial- A Free Next Gen XPath & Locators tool,4.8,5,0.5,97,Development,Software Development Tools,Automation Testing,Sanjay Kumar,English,FALSE,0,0,0,2,0,No,29.98,22
Thinking Skills Activitys,5,5,0.5,2,Personal Development,Parenting & Relationships,Early Childhood Education,Tanzer Afat,English,FALSE,0,0,0,1.5,29,No,29.98,22
Space Law 101,4.2,5,0.5,123,Business,Business Law,Law,Victoria Sutton,English,FALSE,0,0,0,1,5,No,34.98,22
Dog Care Guide to train an happy pet,4.7,5,0.5,8,Lifestyle,Pet Care & Training,Dog Training,Fedra Dirani,English,FALSE,1,0,0,1.5,8,No,44.98,22
What is  Entropy ?,5,5,0.5,1,Teaching & Academics,Engineering,Thermodynamics,Prof Dr Mahesh Shelar,English,FALSE,0,0,0,4.5,0,No,44.98,22
Natural Light Portrait Photography With Any Camera,4.8,5,0.5,22,Photography & Video,Portrait Photography,Unknown,Mark Timberlake,English,FALSE,0,0,0,1.5,0,No,78.98,22
Hope In Addiction: For The Family Member & Friend,5,5,0.5,4,Personal Development,Parenting & Relationships,Addiction Recovery,Carina Bang,English,FALSE,0,12,0,1.5,11,No,29.98,22
250 Websites to Earn Money From Home Online,0,0,0,0,Business,Entrepreneurship,Home Business,YOUSUF M,English,FALSE,0,0,0,1,16,No,29.98,22
How to Start Selling On Amazon In The Next 7 Days!,4,5,0.5,1,Business,E-Commerce,Dropshipping,Noah Sadowski,English,FALSE,0,4,0,1.5,0,No,78.98,22
Learn to Play the Flute: Beginner Basics to Intermediate,4.8,5,0.5,1306,Music,Instruments,Flute,MusicProfessor Online Music Lessons,English,FALSE,0,0,0,6,71,Yes,59.98,24
Weight Loss Mastery For The Busy Professional,3.8,5,0.5,70,Health & Fitness,Dieting,Weight Loss,Michael Weir,English,FALSE,0,0,0,3,5,No,55.98,22
Writing A Story for Manifestation and Transformation,5,5,0.5,2,Personal Development,Personal Transformation,Unknown,Noah Letner,English,FALSE,0,0,0,1,5,No,29.98,22
"Yoga for Weightlifting, Powerlifting & Body Building",4.7,5,0.5,286,Health & Fitness,Yoga,Body Building,Kassandra Reinhardt,English,FALSE,0,0,0,6.5,0,No,59.98,22
Adobe Premiere Pro Audio Editing A Masterclass,5,5,0.5,59,Photography & Video,Video Design,Adobe Premiere,Vinod Kj,English,FALSE,0,0,0,2.5,2,No,29.98,22
Cubing Bootcamp : Learn how to solve the 3x3 Rubik's cube,4.8,5,0.5,22,Personal Development,Personal Productivity,Rubik's Cube,Bahadur & Raaghav,English,FALSE,0,1,0,2.5,4,No,29.98,22
Arduino Email Sending Motion Detector,5,5,0.5,3,IT & Software,Hardware,Arduino,Educational Engineering Team,English,FALSE,0,0,0,1,0,No,128.98,22
Certified Supplier Quality Manager Training,5,5,0.5,3,Business,Management,Procurement,Sandeep Kumar ­,English,FALSE,0,8,0,19,14,Yes,78.98,78.98
2021 Complete Python Bootcamp From Zero to Hero in Python,4.6,5,0.5,374285,Development,Programming Languages,Python,Jose Portilla,English,TRUE,0,14,19,22,0,Yes,198.98,33
Systematic Haircutting - Perfect Layers Workshop,4.4,5,0.5,4,Lifestyle,Beauty & Makeup,Hair Styling,Marcus Curth,English,FALSE,0,0,0,1,0,No,59.98,22
Phonics Level 1-3 (Full),0,0,0,0,Teaching & Academics,Teacher Training,Early Childhood Education,Taeasla -,English,FALSE,0,0,0,15,36,No,29.98,22
International Financial Reporting Standards (IFRS),4.2,5,0.5,300,Finance & Accounting,Accounting & Bookkeeping,IFRS,Rowan Malherbe,English,FALSE,0,0,0,4.5,20,No,108.98,23
Happiness Habits Project,5,5,0.5,3,Personal Development,Happiness,Positive Psychology,Jackson Kerchis,English,FALSE,0,43,0,3,10,No,29.98,22
Productivity Tips for Udemy Instructors (Unofficial),5,5,0.5,2,Office Productivity,Other Office Productivity,Personal Productivity,Julie Ann Price,English,FALSE,0,1,0,1,0,No,29.98,22
How to Make a Profitable Website,0,0,0,0,Business,E-Commerce,Unknown,Code gurus by Catalin,English,FALSE,0,0,0,0.666666667,18,No,68.98,22
How to remember every password,4,5,0.5,976,Personal Development,Memory & Study Skills,Cyber Security Awareness,Bill Aronson,English,FALSE,0,0,0,0.65,1,No,29.98,23
Piping Isometrics demystified through practical examples,4.1,5,0.5,33,Business,Industry,Piping,WR Training,English,FALSE,0,0,0,3.5,21,No,59.98,22
Modern PR — How To Get Press Coverage For Your Business,4.4,5,0.5,1033,Marketing,Public Relations,Unknown,Brad Merrill,English,FALSE,0,1,0,1,0,No,108.98,23
Basics of Indian Companies Act 2013 for CA/CMA/CS/MBA,4.6,5,0.5,84,Business,Business Law,Law,"Raja Natarajan, B.Com., PGDBA, FCA",English,FALSE,0,1,0,4.5,1,No,128.98,22
Become a Pro Gamer (eSports Athlete),4.5,5,0.5,72,Health & Fitness,Sports,eSports,Addiktz Expertz,English,FALSE,0,0,0,1,2,No,29.98,22
Truck Dispatcher - Working with owner operators,4.7,5,0.5,28,Business,Communication,Trucking,Vasilije Djukovic,English,FALSE,0,4,0,1,1,No,40.98,22
Internet Evangelism Strategies,3.8,5,0.5,6,Personal Development,Religion & Spirituality,Ministry,Sesan Oguntade,English,FALSE,0,8,0,1,0,No,29.98,22
A Million Subs In A Year: YouTube Marketing and YouTube SEO,4.3,5,0.5,647,Marketing,Video & Mobile Marketing,YouTube Marketing,Max Wilhard,English,FALSE,0,0,0,1.5,0,No,29.98,29.98
Stay Creative,0,0,0,0,Teaching & Academics,Teacher Training,Learning Technologies,Enrico Bertelli,English,FALSE,0,0,0,2,29,No,29.98,22
English ESL Business Vocabulary,0,0,0,0,Teaching & Academics,Language Learning,English Vocabulary,Stéphane Elmaleh-Riel,English,FALSE,0,0,0,1,0,No,29.98,22
How To Use iMovie To Edit Your Videos,4.5,5,0.5,95,Office Productivity,Apple,iMovie,Greg Gottfried,English,FALSE,0,0,0,0.566666667,0,No,108.98,22
Bookkeeping and QuickBooks Bundle,4.3,5,0.5,389,Office Productivity,Other Office Productivity,Bookkeeping,At My Desk Training AM,English,FALSE,0,0,0,4,0,Yes,40.98,22
FTCE Reading K-12 Workshop,4.6,5,0.5,6,Teaching & Academics,Test Prep,Test Taking Skills,Elaine Chandler,English,FALSE,0,0,0,1.5,0,No,29.98,22
"WSO Health, Safety & Environment Levels 1, 2 & 3",4.4,5,0.5,29,Health & Fitness,Safety & First Aid,Workplace Health and Safety,Obalim Esedebe,English,FALSE,0,0,0,2.5,19,No,44.98,22
Excel Data Analysis Masterclass with Excel Dashboards,4.5,5,0.5,145,Business,Business Analytics & Intelligence,Excel Analytics,Data Is Good Academy,English,FALSE,0,2,0,4,11,No,29.98,22
Acupressure and Meridian Massage Techniques,4.9,5,0.5,527,Health & Fitness,General Health,Acupressure,Jeffrey Chand,English,FALSE,0,0,0,2.5,14,No,78.98,22
Content Writing & Copy Writing For SEO and Sales,4.1,5,0.5,271,Marketing,Content Marketing,Copywriting,"John Colley MBA, MA(Cantab)",English,FALSE,0,3,0,6.5,53,No,40.98,22
How to Create Your First Successful Ad in 7 Simple Steps,4.8,5,0.5,2,Marketing,Advertising,Advertising Strategy,John Payne,English,FALSE,0,0,0,1.5,2,No,59.98,22
Prophetic Ministry and the Gifts of the Holy Spirit,5,5,0.5,102,Personal Development,Religion & Spirituality,Spirituality,Dr. Stuart Pattico,English,FALSE,0,1,0,2,1,No,29.98,22
Esport and Gaming Course,5,5,0.5,1,Business,Other Business,eSports,ISC Academy,English,FALSE,0,39,0,1,0,No,40.98,22
The Complete Job Interviewing Skills Masterclass Course,4.5,5,0.5,1519,Personal Development,Career Development,Interviewing Skills,TJ Walker,English,FALSE,0,2,0,22,8,No,138.98,23
Startup PR:How To Build Lasting Relationships w/ Journalists,3.9,5,0.5,23,Marketing,Public Relations,Startup,Dmitry Dragilev,English,FALSE,0,0,0,0.6,0,No,29.98,22
Microsoft Power BI - Up & Running With Power BI Service 2021,4.6,5,0.5,3044,Business,Business Analytics & Intelligence,Microsoft Power BI,Maven Analytics,English,FALSE,0,12,0,7.5,3,No,178.98,30
Kardiowarrior Fitness and Personal Protection ADVANCED,5,5,0.5,1,Health & Fitness,Fitness,Unknown,Ravi Moodley,English,FALSE,0,0,0,1.5,0,No,29.98,22
Electric Circuits I (EE101) [Developing],5,5,0.5,3,Teaching & Academics,Engineering,Electrical Circuits,"Mostafa Ayesh, M.Sc.",English,FALSE,0,0,0,4,0,No,128.98,22
A Practical Guide to Healthy Relationships,4.7,5,0.5,37,Personal Development,Leadership,Relationship Building,Soufiane El Alaoui,English,FALSE,0,11,0,4.5,12,No,118.98,22
"3-Day Weekend Entrepreneur - More Impact, Income & Freedom",5,5,0.5,1,Business,Entrepreneurship,Executive Coaching,Wade Galt,English,FALSE,0,2,0,5,8,No,218.98,218.98
Create Your Homeschool Haven,0,0,0,0,Teaching & Academics,Teacher Training,Homeschooling,Jamie Johnson,English,FALSE,0,0,0,10,5,No,108.98,22
49 Weight Loss Tips You Can Stick To Forever - Be Thinner,4.1,5,0.5,19,Health & Fitness,Dieting,Weight Loss,TJ Walker,English,FALSE,0,0,0,2,0,No,29.98,22
Developing Sprint Hurdlers From Beginner To Elite,0,0,0,0,Health & Fitness,Sports,Sports Coaching,Micheal Wellington,English,FALSE,0,0,0,2,3,No,118.98,22
Create a Smart Contract on WAX blockchain including NFT RNG,5,5,0.5,9,Development,Programming Languages,Smart Contracts,Icaro Lavrador,English,FALSE,0,1,0,5,0,Yes,128.98,22
Turn Photographs Into Digital Paintings Using Photoshop ,4.5,5,0.5,423,Photography & Video,Digital Photography,Photoshop,Lori Jill,English,FALSE,0,5,0,6.5,21,No,108.98,22
Paint Tulips Like a Pro: Botanical Watercolor Series Part II,5,5,0.5,1,Lifestyle,Arts & Crafts,Watercolor Painting,Yana Shvets,English,FALSE,0,0,0,2,0,No,40.98,22
Balloon Art and Design,4.7,5,0.5,46,Design,Architectural Design,Balloon Decoration,Yosef Naim,English,FALSE,0,0,0,1,0,Yes,64.98,22
Victorian Era 3D Game Environment,4.9,5,0.5,74,Design,Game Design,Unknown,Victory3D LLC,English,FALSE,0,0,0,43.5,9,No,78.98,22
Create a Web Scraper in PHP,5,5,0.5,1,Development,Software Development Tools,PHP,Mustafa Alawi,English,FALSE,0,1,0,2.5,1,No,59.98,22
Learn Cat Modeling in Blender from Scratch,0,0,0,0,Design,3D & Animation,Unknown,Jasvir singh Matharu,English,FALSE,0,0,0,3,1,No,29.98,22
"Introduction to the Terminal: Linux, Mac and Windows",5,5,0.5,2,Development,Software Development Tools,Linux Command Line,Mike Shah,English,FALSE,0,1,0,3.5,7,No,68.98,22
English Grammar - Tenses and verb structures,4.6,5,0.5,3746,Teaching & Academics,Language Learning,English Grammar,Bianka Molnar English Language Teacher,English,FALSE,0,0,0,1.5,36,No,108.98,22
AML Compliance in Practice: Suspicious Activity Reports,4.5,5,0.5,109,Finance & Accounting,Compliance,Anti-Money Laundering,Financial Crime Academy,English,FALSE,0,4,0,1.5,5,No,29.98,22
Calculus 1 Differentiation and Integration: Curves and Lines,5,5,0.5,1,Teaching & Academics,Math,Unknown,Dr Francis Babi,English,FALSE,1,0,0,2.5,1,No,40.98,22
Mix Your Own Tracks and Learn the Essentials of Cubase,4.2,5,0.5,287,Music,Music Software,Cubase,Will Edwards,English,FALSE,0,0,0,3,72,No,68.98,24
Architecture Planning of 4000 sqmt Luxurious Bungalow,0,0,0,0,Design,Architectural Design,Unknown,Hokydemy Team,English,FALSE,0,0,0,1,10,No,29.98,22
Improve Your Physical and Mental Success with Tai Chi,4.7,5,0.5,185,Health & Fitness,Fitness,Tai Chi,Ramel Rones,English,FALSE,0,0,0,6,0,No,49.98,22
Excel Crash Course: Master Excel for Financial Analysis,4.6,5,0.5,6183,Finance & Accounting,Financial Modeling & Analysis,Excel,Tim Vipond,English,FALSE,0,0,0,3.5,2,No,55.98,22
Cryptocurrency for Normal People,5,5,0.5,1,Business,Other Business,Cryptocurrency,John DeLancey,English,FALSE,0,0,0,2.5,14,No,59.98,22
Brahma Shakti Vinyasa Yoga,5,5,0.5,2,Health & Fitness,Yoga,Ashtanga Yoga,Mark Flint,English,FALSE,0,1,0,6.5,21,No,138.98,138.98
Conditioning Tips and Techniques,5,5,0.5,3,Health & Fitness,Fitness,Unknown,Sport Videos,English,FALSE,0,0,0,1,0,No,34.98,22
Online Course Creator : Create & Sell Online Courses Today!,0,0,0,0,Marketing,Video & Mobile Marketing,Online Course Creation,Mitchell Bouchard,English,FALSE,0,0,0,4,4,No,128.98,22
How to look impeccable and achieve business success,5,5,0.5,3,Personal Development,Influence,Business Fundamentals,Calagiu Andrew,English,FALSE,0,0,0,1,0,No,158.98,158.98
